c498-902 stampede tacc utexas edu
Running on sampede.tacc.xsede.org
TACC: Starting up job 7716193
TACC: Setting up parallel environment for MVAPICH2+mpispawn.
TACC: Starting parallel tasks...
LAMMPS (10 Feb 2015)
  using 1 OpenMP thread(s) per MPI task
Lattice spacing in x,y,z = 10 10 10
Reading data file ...
  orthogonal box = (-58.1437 -58.1437 -58.1437) to (58.1437 58.1437 58.1437)
  2 by 2 by 4 MPI processor grid
  reading atoms ...
  12288 atoms
Changing box ...
  triclinic box = (-58.1437 -58.1437 -58.1437) to (58.1437 58.1437 58.1437) with tilt (0 0 0)
Reading potential file CH.airebo with DATE: 2011-10-25
Neighbor list info ...
  1 neighbor list requests
  update every 1 steps, delay 0 steps, check yes
  master list distance cutoff = 7
Setting up minimization ...
Memory usage per processor = 5.10815 Mbytes
Step Temp PotEng Press Pxx Pyy Pzz Pxy Pxz Pyz Lx Ly Lz Volume 
   17000            0   -91827.507    19.694743    17.532577   0.81490982    40.736742 -0.0016068495 0.0016073516 -8.2448954e-06    116.62194    116.62652    116.61558    1586113.2 
   17500            0   -91853.415    -12.85089   -13.372968   -19.563577   -5.6161252 -0.0015744523  0.001574857 -7.9882426e-06    116.62542    116.62712    116.62329    1586273.6 
   18000            0   -91883.731    58.797363    58.494342     62.22956    55.668188 -0.0015390077 0.0015392489 -7.6596438e-06    116.61475    116.61373    116.61553    1585840.7 
   18500            0   -91912.672    43.127624    45.775181    24.314447    59.293244 -0.0015042696 0.0015044614 -7.3910052e-06    116.61602    116.62193     116.6123    1585925.4 
   19000            0     -91937.9    8.1130845    11.296965    27.236539   -14.194251 -0.0014741193 0.0014742604 -7.2336367e-06    116.62093    116.61653    116.62796    1586131.9 
   19500            0   -91960.305    30.988697     30.47679    53.288468    9.2008318 -0.0014485136 0.0014486007 -7.022827e-06    116.61898    116.61268    116.62486    1586010.9 
   20000            0   -92007.855    6.0342884    5.5802576    30.703156   -18.180548 -0.0013939635 0.0013939757 -6.6004025e-06     116.6236    116.61664    116.63019      1586200 
   20500            0   -92029.409    59.539763    59.297261    51.524436    67.797591 -0.0013707826 0.0013707969 -6.3339285e-06    116.61672    116.61888    116.61436    1585921.7 
   21000            0   -92051.576   -4.1893466   -5.6322406   -36.042176    29.106377 -0.0013456165 0.0013456133 -6.1374096e-06    116.62695     116.6354    116.61729    1586325.2 
   21500            0   -92076.057     -35.1971   -31.775592   -49.571599   -24.244109 -0.0013186329 0.0013185709 -5.9576665e-06    116.63113    116.63608    116.62903      1586551 
   22000            0   -92096.078    22.971694    22.781774    23.461886    22.671421 -0.0012978565 0.0012977089 -5.7388969e-06    116.62499     116.6248    116.62502    1586259.6 
   22500            0   -92115.496    116.04305     118.3314      109.442    120.35576 -0.0012783522 0.0012781268 -5.4945038e-06    116.61235    116.61483    116.61178    1585771.9 
   23000            0   -92133.739    10.316726    12.917731     3.594762    14.437684 -0.0012578985 0.0012576878 -5.3738833e-06    116.62833    116.63093     116.6279    1586427.6 
   23500            0   -92154.138   -16.200717   -8.7293839   -37.486831    -2.385937 -0.0012363253 0.0012360908 -5.1896308e-06    116.63213    116.64019    116.63036    1586638.7 
